Model,Price,Brand,Mileage,Year,Fuel
Cultus   Limited Edition,1750000,Suzuki,94000,2016,Petrol
Corolla   Altis Grande CVT-i 1.8,460000,Toyota,87473,2017,Petrol
Yaris   ATIV X CVT 1.5,5240000,Toyota,29421,2022,Petrol
Ciaz   Manual,320000,Suzuki,127692,2018,Petrol
Prius   S LED Edition 1.8,450000,Toyota,107810,2013,Petrol
Mira   LSA 3,3450000,Daihatsu,20381,2020,Petrol
City 5th Generation  Aspire 1.5 i-VTEC,260000,Honda,153248,2013,Petrol
C-HR   1.2 Turbo,900000,Toyota,37217,2019,Petrol
Civic   Oriel 1.8 i-VTEC CVT,5150000,Honda,74059,2016,Petrol
Alto   VXR,120000,Suzuki,108489,2011,Petrol
Civic   Oriel 1.8 i-VTEC CVT,680000,Honda,34235,2021,Petrol
Civic   Oriel,840000,Honda,24390,2022,Petrol
Alto   F,270000,Suzuki,93693,2015,Petrol
Corolla   GLi Automatic 1.3 VVTi,51250000,Toyota,8404,2018,Petrol
Civic   Oriel 1.8 i-VTEC CVT,620000,Honda,48057,2020,Petrol
Wagon R   VXL,3050000,Suzuki,24571,2021,Petrol
Mira   L,3650000,Daihatsu,35859,2020,Petrol
Civic   Oriel 1.8 i-VTEC CVT,6350000,Honda,45552,2020,Petrol
BR-V   i-VTEC S,5490000,Honda,22668,2020,Petrol
City   i-DSI,1950000,Honda,195612,2006,Petrol
Stonic   EX+,540000,KIA,14028,2022,Petrol
City 5th Generation  1.3 i-VTEC,220000,Honda,195000,2014,Petrol
Vezel   Hybrid Z,620000,Honda,153230,2016,Hybrid
Pearl   MT,1550000,Prince,1126,2022,Petrol
Dayz   X,2150000,Nissan,87097,2015,Petrol
Corolla   Altis Grande CVT-i 1.8,560000,Toyota,147594,2018,Petrol
Wagon R   VXL,2950000,Suzuki,67130,2022,Petrol
Cultus   VXRi,100000,Suzuki,95706,2007,Petrol
Cultus   VXR,2580000,Suzuki,72500,2019,Petrol
Civic   Oriel 1.8 i-VTEC CVT,510000,Honda,142490,2017,Petrol
Civic   Oriel 1.8 i-VTEC CVT,650000,Honda,43626,2019,Petrol
Cultus   EURO II,1330000,Suzuki,81258,2013,Petrol
Mehran   VXR Euro II,1050000,Suzuki,41794,2017,Petrol
Alto   VXR,260000,Suzuki,3223,2021,Petrol
Vitz   F 1.0,3450000,Toyota,130404,2016,Petrol
